date,team,elo
2018-06-01,Brazil,2100.5
2018-06-01,France,2025.0
2018-06-01,Argentina,1980.0
2018-06-01,England,1940.0
2018-06-01,Croatia,1910.0
2018-06-01,Uruguay,1895.0
2018-06-01,Switzerland,1860.0
2018-06-01,Serbia,1800.0
2018-06-01,Russia,1820.0
2018-06-01,Australia,1760.0
2018-06-01,Iran,1730.0
2018-06-01,Ghana,1700.0
2018-06-01,Saudi Arabia,1650.0
2022-11-01,Brazil,2088.0
2022-11-01,France,2045.8
2022-11-01,Argentina,2068.2
2022-11-01,England,1998.4
2022-11-01,Croatia,1965.1
2022-11-01,Uruguay,1920.0
2022-11-01,Switzerland,1905.0
2022-11-01,Serbia,1832.0
2022-11-01,Russia,1850.0
2022-11-01,Australia,1780.0
2022-11-01,Iran,1755.0
2022-11-01,Ghana,1720.0
2022-11-01,Saudi Arabia,1680.0
