rank_date,country,rank,total_points
2018-06-07,Brazil,2,1584.0
2018-06-07,France,7,1439.0
2018-06-07,Argentina,5,1464.0
2018-06-07,England,12,1339.0
2018-06-07,Croatia,20,1304.0
2018-06-07,Uruguay,17,1320.0
2018-06-07,Switzerland,6,1440.0
2018-06-07,Serbia,34,1380.0
2018-06-07,Russia,66,1190.0
2018-06-07,Australia,40,1300.0
2018-06-07,Iran,37,1310.0
2018-06-07,Ghana,51,1250.0
2018-06-07,Saudi Arabia,67,1180.0
2022-10-06,Brazil,1,1841.3
2022-10-06,France,4,1759.78
2022-10-06,Argentina,3,1773.88
2022-10-06,England,5,1728.47
2022-10-06,Croatia,12,1632.15
2022-10-06,Uruguay,14,1610.0
2022-10-06,Switzerland,15,1595.0
2022-10-06,Serbia,25,1489.21
2022-10-06,Russia,35,1450.0
2022-10-06,Australia,38,1420.0
2022-10-06,Iran,22,1520.0
2022-10-06,Ghana,60,1280.0
2022-10-06,Saudi Arabia,51,1350.0
