match_id,snapshot_ts,home_odds,draw_odds,away_odds,over25_odds,under25_odds,btts_yes_odds
wc2018_rus_ksa_gs,2018-06-14T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_egy_uru_gs,2018-06-15T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_por_esp_gs,2018-06-15T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_mar_irn_gs,2018-06-15T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_cro_nga_gs,2018-06-16T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_arg_isl_gs,2018-06-16T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_per_den_gs,2018-06-16T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_fra_aus_gs,2018-06-16T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_ger_mex_gs,2018-06-17T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_bra_sui_gs,2018-06-17T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_crc_srb_gs,2018-06-17T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_tun_eng_gs,2018-06-18T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_bel_pan_gs,2018-06-18T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_swe_kor_gs,2018-06-18T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_pol_sen_gs,2018-06-19T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_col_jpn_gs,2018-06-19T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_rus_egy_gs,2018-06-19T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_irn_esp_gs,2018-06-20T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_uru_ksa_gs,2018-06-20T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_por_mar_gs,2018-06-20T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_den_aus_gs,2018-06-21T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_fra_per_gs,2018-06-21T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_arg_cro_gs,2018-06-21T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_nga_isl_gs,2018-06-22T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_bra_crc_gs,2018-06-22T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_srb_sui_gs,2018-06-22T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_kor_mex_gs,2018-06-23T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_ger_swe_gs,2018-06-23T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_bel_tun_gs,2018-06-23T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_pol_col_gs,2018-06-24T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_jpn_sen_gs,2018-06-24T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_eng_pan_gs,2018-06-24T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_uru_rus_gs,2018-06-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_ksa_egy_gs,2018-06-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_irn_por_gs,2018-06-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_esp_mar_gs,2018-06-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_isl_cro_gs,2018-06-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
