player_id,full_name,national_team_id,primary_position,market_value_eur,player_rating
pla_aboubakar,Vincent Aboubakar,team_cmr,ST,5000000,78
pla_agnard,Nayef Aguerd,team_mar,CB,25000000,81
pla_akanji,Manuel Akanji,team_sui,CB,35000000,83
pla_akinfeev,Igor Akinfeev,team_rus,GK,2000000,78
pla_al_dawsari,Salem Al-Dawsari,team_ksa,LW,5000000,77
pla_al_owais,Mohammed Al-Owais,team_ksa,GK,1000000,72
pla_al_shehri,Saleh Al-Shehri,team_ksa,ST,2000000,74
pla_alba,Jordi Alba,team_esp,LB,10000000,83
pla_alderweireld,Toby Alderweireld,team_bel,CB,5000000,82
pla_alex_sandro,Alex Sandro,team_bra,LB,15000000,81
pla_alisson,Alisson Becker,team_bra,GK,35000000,89
pla_almoez,Almoez Ali,team_qat,ST,2000000,74
pla_alvarez,Julian Alvarez,team_arg,ST,90000000,84
pla_alvarez_e,Edson Alvarez,team_mex,CDM,25000000,80
pla_amallah,Selim Amallah,team_mar,CM,8000000,78
pla_amrabat,Sofyan Amrabat,team_mar,CDM,30000000,83
pla_arrascaeta,Giorgian de Arrascaeta,team_uru,CAM,12000000,79
pla_asensio,Marco Asensio,team_esp,RW,25000000,82
pla_at_zigi,Lawrence Ati-Zigi,team_gha,GK,2000000,74
pla_australia_squad_0,Australia Squad Player 1,team_aus,GK,500000,70
pla_australia_squad_1,Australia Squad Player 2,team_aus,RB,500000,70
pla_australia_squad_2,Australia Squad Player 3,team_aus,CB,500000,70
pla_australia_squad_3,Australia Squad Player 4,team_aus,CB,500000,70
pla_australia_squad_4,Australia Squad Player 5,team_aus,LB,500000,70
pla_australia_squad_5,Australia Squad Player 6,team_aus,CDM,500000,70
pla_australia_squad_6,Australia Squad Player 7,team_aus,CM,500000,70
pla_australia_squad_7,Australia Squad Player 8,team_aus,CM,500000,70
pla_ayew_andre,Andre Ayew,team_gha,CM,3000000,76
pla_azmoun,Sardar Azmoun,team_irn,ST,10000000,78
pla_bale,Gareth Bale,team_wal,RW,5000000,80
pla_barsham,Saad Al Sheeb,team_qat,GK,1000000,72
pla_beiranvand,Alireza Beiranvand,team_irn,GK,1000000,76
pla_bellingham,Jude Bellingham,team_eng,CM,150000000,88
pla_bentancur,Rodrigo Bentancur,team_uru,CM,30000000,83
pla_benzema,Karim Benzema,team_fra,ST,25000000,90
pla_berg,Marcus Berg,team_swe,ST,2000000,76
pla_bergwijn,Steven Bergwijn,team_ned,RW,25000000,80
pla_bernardo,Bernardo Silva,team_por,CM,70000000,87
pla_blind,Daley Blind,team_ned,LB,8000000,81
pla_borjan,Milan Borjan,team_can,GK,2000000,74
pla_boufal,Sofiane Boufal,team_mar,LW,12000000,79
pla_bounou,Yassine Bounou,team_mar,GK,12000000,82
pla_brozovic,Marcelo Brozovic,team_cro,CDM,12000000,84
pla_bruno,Bruno Fernandes,team_por,CAM,70000000,87
pla_busquets,Sergio Busquets,team_esp,CDM,5000000,84
pla_caceres,Martin Caceres,team_uru,RB,2000000,76
pla_caicedo_m,Moisés Caicedo,team_ecu,CM,50000000,82
pla_cameroon_squad_0,Cameroon Squad Player 1,team_cmr,GK,500000,70
pla_cameroon_squad_1,Cameroon Squad Player 2,team_cmr,RB,500000,70
pla_cameroon_squad_2,Cameroon Squad Player 3,team_cmr,CB,500000,70
pla_cameroon_squad_3,Cameroon Squad Player 4,team_cmr,CB,500000,70
pla_cameroon_squad_4,Cameroon Squad Player 5,team_cmr,LB,500000,70
pla_cameroon_squad_5,Cameroon Squad Player 6,team_cmr,CDM,500000,70
pla_cameroon_squad_6,Cameroon Squad Player 7,team_cmr,CM,500000,70
pla_cameroon_squad_7,Cameroon Squad Player 8,team_cmr,CM,500000,70
pla_cameroon_squad_8,Cameroon Squad Player 9,team_cmr,RW,500000,70
pla_campbell,Joel Campbell,team_crc,ST,3000000,76
pla_canada_squad_0,Canada Squad Player 1,team_can,GK,500000,70
pla_canada_squad_1,Canada Squad Player 2,team_can,RB,500000,70
pla_canada_squad_2,Canada Squad Player 3,team_can,CB,500000,70
pla_canada_squad_3,Canada Squad Player 4,team_can,CB,500000,70
pla_canada_squad_4,Canada Squad Player 5,team_can,LB,500000,70
pla_canada_squad_5,Canada Squad Player 6,team_can,CDM,500000,70
pla_canada_squad_6,Canada Squad Player 7,team_can,CM,500000,70
pla_canada_squad_7,Canada Squad Player 8,team_can,CM,500000,70
pla_cancelo,Joao Cancelo,team_por,RB,50000000,86
