team_match_stat_id,match_id,team_id,match_date,possession,shots,shots_on_target,xg,passes_completed,corners,fouls,yellow_cards,red_cards,cards
tms_00001,wc2018_rus_ksa_gs,team_rus,2018-06-14,50.2,19,13,3.92,402,8,10,2,0,2
tms_00002,wc2018_rus_ksa_gs,team_ksa,2018-06-14,55.8,4,3,0.62,342,2,10,3,0,3
tms_00003,wc2018_egy_uru_gs,team_egy,2018-06-15,47.0,3,1,0.6,430,6,8,2,0,2
tms_00004,wc2018_egy_uru_gs,team_uru,2018-06-15,46.3,6,4,1.09,317,7,15,1,0,1
tms_00005,wc2018_por_esp_gs,team_por,2018-06-15,47.2,13,9,2.48,312,4,10,1,0,1
tms_00006,wc2018_por_esp_gs,team_esp,2018-06-15,47.2,15,8,2.74,428,2,16,1,0,1
tms_00007,wc2018_mar_irn_gs,team_mar,2018-06-15,51.1,7,3,0.71,351,4,9,3,0,3
tms_00008,wc2018_mar_irn_gs,team_irn,2018-06-15,46.0,9,4,1.42,440,6,8,0,0,0
tms_00009,wc2018_cro_nga_gs,team_cro,2018-06-16,52.8,12,6,2.02,428,5,16,0,0,0
tms_00010,wc2018_cro_nga_gs,team_nga,2018-06-16,52.9,3,2,0.25,371,4,9,3,0,3
tms_00011,wc2018_arg_isl_gs,team_arg,2018-06-16,51.8,5,3,0.9,298,2,16,2,0,2
tms_00012,wc2018_arg_isl_gs,team_isl,2018-06-16,50.4,7,5,1.28,336,2,14,0,0,0
tms_00013,wc2018_per_den_gs,team_per,2018-06-16,44.3,5,1,0.63,343,6,11,3,0,3
tms_00014,wc2018_per_den_gs,team_den,2018-06-16,52.4,5,3,1.38,436,3,14,0,0,0
tms_00015,wc2018_fra_aus_gs,team_fra,2018-06-16,46.2,12,6,1.96,422,4,10,2,0,2
tms_00016,wc2018_fra_aus_gs,team_aus,2018-06-16,48.0,7,5,1.52,360,2,8,0,0,0
tms_00017,wc2018_ger_mex_gs,team_ger,2018-06-17,48.6,6,2,0.25,386,6,14,2,0,2
tms_00018,wc2018_ger_mex_gs,team_mex,2018-06-17,44.3,8,3,1.59,457,5,15,1,0,1
tms_00019,wc2018_bra_sui_gs,team_bra,2018-06-17,45.7,10,5,0.89,297,2,15,1,0,1
tms_00020,wc2018_bra_sui_gs,team_sui,2018-06-17,49.8,7,5,1.34,342,8,10,2,0,2
tms_00021,wc2018_crc_srb_gs,team_crc,2018-06-17,45.2,3,1,0.42,412,2,10,0,0,0
tms_00022,wc2018_crc_srb_gs,team_srb,2018-06-17,54.6,7,5,1.46,354,8,12,2,0,2
tms_00023,wc2018_tun_eng_gs,team_tun,2018-06-18,53.3,8,3,0.75,373,4,11,1,0,1
tms_00024,wc2018_tun_eng_gs,team_eng,2018-06-18,55.8,10,7,1.46,282,5,10,2,0,2
tms_00025,wc2018_bel_pan_gs,team_bel,2018-06-18,47.1,12,8,2.17,371,8,9,3,0,3
tms_00026,wc2018_bel_pan_gs,team_pan,2018-06-18,50.3,5,1,0.57,337,4,15,2,0,2
tms_00027,wc2018_swe_kor_gs,team_swe,2018-06-18,47.7,6,4,0.79,377,5,15,1,0,1
tms_00028,wc2018_swe_kor_gs,team_kor,2018-06-18,55.9,3,2,0.25,281,4,9,1,0,1
tms_00029,wc2018_pol_sen_gs,team_pol,2018-06-19,50.8,7,5,1.1,408,7,16,0,0,0
tms_00030,wc2018_pol_sen_gs,team_sen,2018-06-19,51.3,13,7,2.21,447,5,15,3,0,3
tms_00031,wc2018_col_jpn_gs,team_col,2018-06-19,50.5,10,5,1.37,345,4,13,1,0,1
tms_00032,wc2018_col_jpn_gs,team_jpn,2018-06-19,55.2,10,7,1.52,288,2,16,0,0,0
