match_id,competition_name,season_name,stage_name,match_date,kickoff_ts,home_team_name,away_team_name,home_score_ft,away_score_ft,home_score_ht,away_score_ht,aet_score_home,aet_score_away,pen_score_home,pen_score_away,status,is_world_cup,is_knockout,venue,city,country
wc2018_rus_ksa_gs,FIFA World Cup,2018,Group stage,2018-06-14,2018-06-14T15:00:00Z,Russia,Saudi Arabia,5,0,2.0,0.0,,,,,finished,True,False,Luzhniki Stadium,Moscow,Russia
wc2018_egy_uru_gs,FIFA World Cup,2018,Group stage,2018-06-15,2018-06-15T15:00:00Z,Egypt,Uruguay,0,1,,,,,,,finished,True,False,Ekaterinburg Arena,Yekaterinburg,Russia
wc2018_por_esp_gs,FIFA World Cup,2018,Group stage,2018-06-15,2018-06-15T15:00:00Z,Portugal,Spain,3,3,2.0,1.0,,,,,finished,True,False,Fisht Olympic Stadium,Sochi,Russia
wc2018_mar_irn_gs,FIFA World Cup,2018,Group stage,2018-06-15,2018-06-15T15:00:00Z,Morocco,Iran,0,1,,,,,,,finished,True,False,Krestovsky Stadium,Saint Petersburg,Russia
wc2018_cro_nga_gs,FIFA World Cup,2018,Group stage,2018-06-16,2018-06-16T15:00:00Z,Croatia,Nigeria,2,0,,,,,,,finished,True,False,Kaliningrad Stadium,Kaliningrad,Russia
wc2018_arg_isl_gs,FIFA World Cup,2018,Group stage,2018-06-16,2018-06-16T15:00:00Z,Argentina,Iceland,1,1,1.0,1.0,,,,,finished,True,False,Spartak Stadium,Moscow,Russia
wc2018_per_den_gs,FIFA World Cup,2018,Group stage,2018-06-16,2018-06-16T15:00:00Z,Peru,Denmark,0,1,,,,,,,finished,True,False,Mordovia Arena,Saransk,Russia
wc2018_fra_aus_gs,FIFA World Cup,2018,Group stage,2018-06-16,2018-06-16T15:00:00Z,France,Australia,2,1,0.0,0.0,,,,,finished,True,False,Kazan Arena,Kazan,Russia
wc2018_ger_mex_gs,FIFA World Cup,2018,Group stage,2018-06-17,2018-06-17T15:00:00Z,Germany,Mexico,0,1,,,,,,,finished,True,False,Luzhniki Stadium,Moscow,Russia
wc2018_bra_sui_gs,FIFA World Cup,2018,Group stage,2018-06-17,2018-06-17T15:00:00Z,Brazil,Switzerland,1,1,1.0,0.0,,,,,finished,True,False,Rostov Arena,Rostov-on-Don,Russia
wc2018_crc_srb_gs,FIFA World Cup,2018,Group stage,2018-06-17,2018-06-17T15:00:00Z,Costa Rica,Serbia,0,1,,,,,,,finished,True,False,Samara Arena,Samara,Russia
wc2018_tun_eng_gs,FIFA World Cup,2018,Group stage,2018-06-18,2018-06-18T15:00:00Z,Tunisia,England,1,2,,,,,,,finished,True,False,Volgograd Arena,Volgograd,Russia
wc2018_bel_pan_gs,FIFA World Cup,2018,Group stage,2018-06-18,2018-06-18T15:00:00Z,Belgium,Panama,3,0,,,,,,,finished,True,False,Fisht Olympic Stadium,Sochi,Russia
wc2018_swe_kor_gs,FIFA World Cup,2018,Group stage,2018-06-18,2018-06-18T15:00:00Z,Sweden,South Korea,1,0,,,,,,,finished,True,False,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia
wc2018_pol_sen_gs,FIFA World Cup,2018,Group stage,2018-06-19,2018-06-19T15:00:00Z,Poland,Senegal,1,2,,,,,,,finished,True,False,Spartak Stadium,Moscow,Russia
wc2018_col_jpn_gs,FIFA World Cup,2018,Group stage,2018-06-19,2018-06-19T15:00:00Z,Colombia,Japan,1,2,,,,,,,finished,True,False,Mordovia Arena,Saransk,Russia
wc2018_rus_egy_gs,FIFA World Cup,2018,Group stage,2018-06-19,2018-06-19T15:00:00Z,Russia,Egypt,3,1,0.0,0.0,,,,,finished,True,False,Krestovsky Stadium,Saint Petersburg,Russia
wc2018_irn_esp_gs,FIFA World Cup,2018,Group stage,2018-06-20,2018-06-20T15:00:00Z,Iran,Spain,0,1,,,,,,,finished,True,False,Kazan Arena,Kazan,Russia
wc2018_uru_ksa_gs,FIFA World Cup,2018,Group stage,2018-06-20,2018-06-20T15:00:00Z,Uruguay,Saudi Arabia,1,0,,,,,,,finished,True,False,Rostov Arena,Rostov-on-Don,Russia
wc2018_por_mar_gs,FIFA World Cup,2018,Group stage,2018-06-20,2018-06-20T15:00:00Z,Portugal,Morocco,1,0,,,,,,,finished,True,False,Luzhniki Stadium,Moscow,Russia
wc2018_den_aus_gs,FIFA World Cup,2018,Group stage,2018-06-21,2018-06-21T15:00:00Z,Denmark,Australia,1,1,,,,,,,finished,True,False,Samara Arena,Samara,Russia
