alias_name,canonical_team_id,notes
Argentina,team_arg,
Australia,team_aus,
Belgium,team_bel,
Brazil,team_bra,
Cameroon,team_cmr,
Canada,team_can,
Colombia,team_col,
Costa Rica,team_crc,
Croatia,team_cro,
Denmark,team_den,
Ecuador,team_ecu,
Egypt,team_egy,
England,team_eng,
France,team_fra,
Germany,team_ger,
Ghana,team_gha,
Iceland,team_isl,
Iran,team_irn,
Italy,team_ita,
Japan,team_jpn,
Mexico,team_mex,
Morocco,team_mar,
Netherlands,team_ned,
Nigeria,team_nga,
Panama,team_pan,
Peru,team_per,
Poland,team_pol,
Portugal,team_por,
Qatar,team_qat,
Russia,team_rus,
Saudi Arabia,team_ksa,
Senegal,team_sen,
Serbia,team_srb,
South Korea,team_kor,
Spain,team_esp,
Sweden,team_swe,
Switzerland,team_sui,
Tunisia,team_tun,
USA,team_usa,
Uruguay,team_uru,
Wales,team_wal,
