team_name,rating,rating_date,rating_system,rank
Argentina,1500,2018-06-01,elo,
Argentina,1480,2022-11-01,elo,
Australia,1517,2018-06-01,elo,
Australia,1499,2022-11-01,elo,
Belgium,1534,2018-06-01,elo,
Belgium,1518,2022-11-01,elo,
Brazil,1551,2018-06-01,elo,
Brazil,1537,2022-11-01,elo,
Cameroon,1568,2018-06-01,elo,
Cameroon,1556,2022-11-01,elo,
Canada,1585,2018-06-01,elo,
Canada,1575,2022-11-01,elo,
Colombia,1602,2018-06-01,elo,
Colombia,1594,2022-11-01,elo,
Costa Rica,1619,2018-06-01,elo,
Costa Rica,1613,2022-11-01,elo,
Croatia,1636,2018-06-01,elo,
Croatia,1632,2022-11-01,elo,
Denmark,1653,2018-06-01,elo,
Denmark,1651,2022-11-01,elo,
Ecuador,1670,2018-06-01,elo,
Ecuador,1670,2022-11-01,elo,
Egypt,1687,2018-06-01,elo,
Egypt,1689,2022-11-01,elo,
England,1704,2018-06-01,elo,
England,1708,2022-11-01,elo,
France,1721,2018-06-01,elo,
France,1727,2022-11-01,elo,
Germany,1738,2018-06-01,elo,
Germany,1746,2022-11-01,elo,
Ghana,1755,2018-06-01,elo,
Ghana,1765,2022-11-01,elo,
Iceland,1772,2018-06-01,elo,
Iceland,1784,2022-11-01,elo,
Iran,1789,2018-06-01,elo,
Iran,1803,2022-11-01,elo,
Italy,1806,2018-06-01,elo,
Italy,1822,2022-11-01,elo,
Japan,1823,2018-06-01,elo,
Japan,1841,2022-11-01,elo,
Mexico,1840,2018-06-01,elo,
Mexico,1860,2022-11-01,elo,
Morocco,1857,2018-06-01,elo,
Morocco,1879,2022-11-01,elo,
Netherlands,1874,2018-06-01,elo,
Netherlands,1898,2022-11-01,elo,
Nigeria,1891,2018-06-01,elo,
Nigeria,1917,2022-11-01,elo,
Panama,1908,2018-06-01,elo,
Panama,1936,2022-11-01,elo,
Peru,1925,2018-06-01,elo,
Peru,1955,2022-11-01,elo,
Poland,1942,2018-06-01,elo,
Poland,1974,2022-11-01,elo,
Portugal,1959,2018-06-01,elo,
Portugal,1993,2022-11-01,elo,
Qatar,1976,2018-06-01,elo,
Qatar,2012,2022-11-01,elo,
Russia,1993,2018-06-01,elo,
Russia,2031,2022-11-01,elo,
Saudi Arabia,2010,2018-06-01,elo,
Saudi Arabia,2050,2022-11-01,elo,
Senegal,2027,2018-06-01,elo,
Senegal,2069,2022-11-01,elo,
Serbia,2044,2018-06-01,elo,
Serbia,2088,2022-11-01,elo,
South Korea,2061,2018-06-01,elo,
South Korea,1487,2022-11-01,elo,
Spain,2078,2018-06-01,elo,
Spain,1506,2022-11-01,elo,
Sweden,2095,2018-06-01,elo,
Sweden,1525,2022-11-01,elo,
Switzerland,1512,2018-06-01,elo,
Switzerland,1544,2022-11-01,elo,
Tunisia,1529,2018-06-01,elo,
Tunisia,1563,2022-11-01,elo,
USA,1546,2018-06-01,elo,
USA,1582,2022-11-01,elo,
Uruguay,1563,2018-06-01,elo,
Uruguay,1601,2022-11-01,elo,
Wales,1580,2018-06-01,elo,
Wales,1620,2022-11-01,elo,
