team_name,ranking_date,rank,points
Argentina,2018-06-07,27,1600.0
Argentina,2022-10-06,5,1643.33
Australia,2018-06-07,38,1605.67
Australia,2022-10-06,31,1649.67
Belgium,2018-06-07,57,1611.33
Belgium,2022-10-06,50,1656.0
Brazil,2018-06-07,61,1617.0
Brazil,2022-10-06,44,1662.33
Cameroon,2018-06-07,32,1622.67
Cameroon,2022-10-06,40,1668.67
Canada,2018-06-07,8,1628.33
Canada,2022-10-06,41,1675.0
Colombia,2018-06-07,30,1634.0
Colombia,2022-10-06,18,1681.33
Costa Rica,2018-06-07,16,1639.67
Costa Rica,2022-10-06,39,1687.67
Croatia,2018-06-07,27,1645.33
Croatia,2022-10-06,35,1694.0
Denmark,2018-06-07,63,1651.0
Denmark,2022-10-06,56,1700.33
Ecuador,2018-06-07,35,1656.67
Ecuador,2022-10-06,48,1706.67
Egypt,2018-06-07,53,1662.33
Egypt,2022-10-06,41,1713.0
England,2018-06-07,53,1668.0
England,2022-10-06,11,1719.33
France,2018-06-07,28,1673.67
France,2022-10-06,26,1725.67
Germany,2018-06-07,26,1679.33
Germany,2022-10-06,14,1732.0
Ghana,2018-06-07,56,1685.0
Ghana,2022-10-06,4,1738.33
Iceland,2018-06-07,17,1690.67
Iceland,2022-10-06,40,1744.67
Iran,2018-06-07,54,1696.33
Iran,2022-10-06,47,1751.0
Italy,2018-06-07,11,1702.0
Italy,2022-10-06,14,1757.33
Japan,2018-06-07,19,1707.67
Japan,2022-10-06,22,1763.67
Mexico,2018-06-07,22,1713.33
Mexico,2022-10-06,30,1770.0
Morocco,2018-06-07,61,1719.0
Morocco,2022-10-06,4,1776.33
Netherlands,2018-06-07,10,1724.67
Netherlands,2022-10-06,48,1782.67
Nigeria,2018-06-07,19,1730.33
Nigeria,2022-10-06,7,1789.0
Panama,2018-06-07,45,1736.0
Panama,2022-10-06,38,1795.33
Peru,2018-06-07,57,1741.67
Peru,2022-10-06,25,1801.67
Poland,2018-06-07,12,1747.33
Poland,2022-10-06,10,1808.0
Portugal,2018-06-07,33,1753.0
Portugal,2022-10-06,46,1814.33
Qatar,2018-06-07,41,1758.67
Qatar,2022-10-06,34,1820.67
Russia,2018-06-07,7,1764.33
Russia,2022-10-06,45,1827.0
Saudi Arabia,2018-06-07,29,1770.0
Saudi Arabia,2022-10-06,42,1833.33
Senegal,2018-06-07,36,1775.67
Senegal,2022-10-06,54,1839.67
Serbia,2018-06-07,23,1781.33
Serbia,2022-10-06,11,1846.0
South Korea,2018-06-07,36,1787.0
South Korea,2022-10-06,24,1645.67
Spain,2018-06-07,55,1792.67
Spain,2022-10-06,33,1652.0
Sweden,2018-06-07,35,1798.33
Sweden,2022-10-06,33,1658.33
Switzerland,2018-06-07,13,1604.0
Switzerland,2022-10-06,26,1664.67
Tunisia,2018-06-07,64,1609.67
Tunisia,2022-10-06,27,1671.0
USA,2018-06-07,41,1615.33
USA,2022-10-06,14,1677.33
Uruguay,2018-06-07,54,1621.0
Uruguay,2022-10-06,32,1683.67
Wales,2018-06-07,56,1626.67
Wales,2022-10-06,49,1690.0
