match_id,snapshot_ts,home_odds,draw_odds,away_odds,over25_odds,under25_odds,btts_yes_odds
wc2018_fra_arg_r16,2018-06-30T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_uru_por_r16,2018-06-30T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_cro_den_r16,2018-07-01T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_esp_rus_r16,2018-07-01T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_bra_mex_r16,2018-07-02T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_bel_jpn_r16,2018-07-02T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_swe_sui_r16,2018-07-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_col_eng_r16,2018-07-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_uru_fra_qf,2018-07-06T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_bra_bel_qf,2018-07-06T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_swe_eng_qf,2018-07-07T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_rus_cro_qf,2018-07-07T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_fra_bel_sf,2018-07-10T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_cro_eng_sf,2018-07-11T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_fra_cro_final,2018-07-15T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_arg_aus_r16,2022-12-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_ned_usa_r16,2022-12-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_eng_sen_r16,2022-12-04T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_fra_pol_r16,2022-12-04T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_bra_kor_r16,2022-12-05T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_jpn_cro_r16,2022-12-05T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_mar_esp_r16,2022-12-06T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_por_sui_r16,2022-12-06T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_ned_arg_qf,2022-12-09T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_cro_bra_qf,2022-12-09T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_eng_fra_qf,2022-12-10T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_mar_por_qf,2022-12-10T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_arg_cro_sf,2022-12-13T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_fra_mar_sf,2022-12-14T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_arg_fra_final,2022-12-18T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
