player_id,full_name,national_team_id,primary_position,market_value_eur,player_rating
pla_aboubakar,Vincent Aboubakar,team_cmr,ST,5000000,78
pla_agnard,Nayef Aguerd,team_mar,CB,25000000,81
pla_akanji,Manuel Akanji,team_sui,CB,35000000,83
pla_akinfeev,Igor Akinfeev,team_rus,GK,2000000,78
pla_al_dawsari,Salem Al-Dawsari,team_ksa,LW,5000000,77
pla_al_owais,Mohammed Al-Owais,team_ksa,GK,1000000,72
pla_al_shehri,Saleh Al-Shehri,team_ksa,ST,2000000,74
pla_alba,Jordi Alba,team_esp,LB,10000000,83
pla_alderweireld,Toby Alderweireld,team_bel,CB,5000000,82
pla_alex_sandro,Alex Sandro,team_bra,LB,15000000,81
pla_alisson,Alisson Becker,team_bra,GK,35000000,89
pla_almoez,Almoez Ali,team_qat,ST,2000000,74
pla_alvarez,Julian Alvarez,team_arg,ST,90000000,84
pla_alvarez_e,Edson Alvarez,team_mex,CDM,25000000,80
pla_amrabat,Sofyan Amrabat,team_mar,CDM,30000000,83
pla_asensio,Marco Asensio,team_esp,RW,25000000,82
pla_at_zigi,Lawrence Ati-Zigi,team_gha,GK,2000000,74
pla_ayew_andre,Andre Ayew,team_gha,CM,3000000,76
pla_azmoun,Sardar Azmoun,team_irn,ST,10000000,78
pla_bale,Gareth Bale,team_wal,RW,5000000,80
pla_barella,Nicolo Barella,team_ita,CM,70000000,86
pla_barsham,Saad Al Sheeb,team_qat,GK,1000000,72
pla_beiranvand,Alireza Beiranvand,team_irn,GK,1000000,76
pla_bellingham,Jude Bellingham,team_eng,CM,150000000,88
pla_bentancur,Rodrigo Bentancur,team_uru,CM,30000000,83
pla_benzema,Karim Benzema,team_fra,ST,25000000,90
pla_berg,Marcus Berg,team_swe,ST,2000000,76
pla_bergwijn,Steven Bergwijn,team_ned,RW,25000000,80
pla_bernardo,Bernardo Silva,team_por,CM,70000000,87
pla_blind,Daley Blind,team_ned,LB,8000000,81
pla_borjan,Milan Borjan,team_can,GK,2000000,74
pla_bounou,Yassine Bounou,team_mar,GK,12000000,82
pla_brozovic,Marcelo Brozovic,team_cro,CDM,12000000,84
pla_bruno,Bruno Fernandes,team_por,CAM,70000000,87
pla_busquets,Sergio Busquets,team_esp,CDM,5000000,84
pla_caceres,Martin Caceres,team_uru,RB,2000000,76
pla_caicedo_m,Moisés Caicedo,team_ecu,CM,50000000,82
pla_campbell,Joel Campbell,team_crc,ST,3000000,76
pla_cancelo,Joao Cancelo,team_por,RB,50000000,86
pla_carrasco,Yannick Carrasco,team_bel,LB,25000000,82
pla_carvajal,Dani Carvajal,team_esp,RB,30000000,85
pla_casemiro,Casemiro,team_bra,CDM,30000000,86
pla_cavani,Edinson Cavani,team_uru,ST,3000000,80
pla_coman,Kingsley Coman,team_fra,LW,50000000,83
pla_costa_d,Diogo Costa,team_por,GK,40000000,83
pla_courtois,Thibaut Courtois,team_bel,GK,45000000,89
pla_danilo,Danilo,team_bra,RB,10000000,82
pla_david,Jonathan David,team_can,ST,50000000,82
pla_davies,Alphonso Davies,team_can,LB,70000000,84
pla_de_bruyne,Kevin De Bruyne,team_bel,CAM,60000000,91
pla_de_jong,Frenkie de Jong,team_ned,CM,70000000,87
pla_de_la_cruz,Nicolas de la Cruz,team_uru,CAM,15000000,80
pla_de_ligt,Matthijs de Ligt,team_ned,CB,60000000,85
pla_delaney,Thomas Delaney,team_den,CM,8000000,78
pla_dembele,Ousmane Dembele,team_fra,RW,50000000,84
pla_depaul,Rodrigo De Paul,team_arg,CM,25000000,83
pla_depay,Memphis Depay,team_ned,ST,25000000,84
pla_dest,Sergino Dest,team_usa,RB,18000000,79
pla_di_maria,Angel Di Maria,team_arg,LW,5000000,84
pla_dias,Ruben Dias,team_por,CB,80000000,87
pla_dominguez,Hernan Galindez,team_ecu,GK,1000000,74
pla_donnarumma,Gianluigi Donnarumma,team_ita,GK,45000000,87
pla_duke,Mitchell Duke,team_aus,ST,1000000,72
pla_dumfries,Denzel Dumfries,team_ned,RB,30000000,84
pla_dybala,Paulo Dybala,team_arg,CAM,12000000,83
pla_dzagoev,Alan Dzagoev,team_rus,CM,3000000,76
pla_dzuba,Artem Dzyuba,team_rus,ST,4000000,78
pla_elshenawy,Mohamed El Shenawy,team_egy,GK,2000000,76
pla_embolo,Breel Embolo,team_sui,ST,25000000,81
pla_en_nesyri,Youssef En-Nesyri,team_mar,ST,20000000,80
pla_endo,Wataru Endo,team_jpn,CDM,12000000,80
